model,arm,picks,reps,pick_rate,ci_low,ci_high
claude-haiku-4-5,cite_source,14,30,0.4666666666666667,0.30232127224128236,0.6385798671847496
claude-haiku-4-5,control,4,30,0.13333333333333333,0.05309569424218104,0.2968168394441695
claude-haiku-4-5,keyword_stuff,11,30,0.36666666666666664,0.2187370220401768,0.5448675356639505
claude-haiku-4-5,problem_match,18,30,0.6,0.42320052498273836,0.7540960567391659
claude-haiku-4-5,quotation,22,30,0.7333333333333333,0.5555169795568831,0.8581750444608938
claude-haiku-4-5,statistic,13,30,0.43333333333333335,0.2737723743061511,0.6080299045459127
gemini-3.5-flash,cite_source,0,30,0.0,0.0,0.113517091390478
gemini-3.5-flash,control,0,30,0.0,0.0,0.113517091390478
gemini-3.5-flash,keyword_stuff,3,30,0.1,0.034599259959716175,0.2562144131526662
gemini-3.5-flash,problem_match,1,30,0.03333333333333333,0.0059084379948573795,0.16670751396958874
gemini-3.5-flash,quotation,0,30,0.0,0.0,0.113517091390478
gemini-3.5-flash,statistic,3,30,0.1,0.034599259959716175,0.2562144131526662
